Index,Activity
522,Standing
523,Standing
524,Standing
525,Standing
526,Standing
527,Standing
528,Standing
529,Standing
530,Standing
531,Standing
532,Standing
533,Standing
534,Standing
535,Standing
536,Standing
537,Standing
538,Standing
539,Standing
540,Standing
541,Standing
542,Standing
543,Standing
544,Standing
545,Standing
546,Standing
547,Standing
548,Standing
549,Standing
550,Standing
551,Standing
552,Standing
553,Standing
554,Standing
555,Standing
556,Standing
557,Standing
558,Standing
559,Standing
560,Standing
561,Standing
562,Standing
563,Standing
564,Standing
565,Standing
566,Standing
567,Standing
568,Standing
569,Standing
570,Standing
571,Standing
572,Standing
573,Standing
574,Standing
575,Standing
576,Standing
577,Standing
578,Standing
579,Standing
580,Standing
581,Standing
582,Standing
583,Standing
584,Standing
585,Standing
586,Standing
587,Standing
588,Standing
589,Standing
590,Standing
591,Standing
592,Standing
593,Standing
594,Standing
595,Standing
596,Standing
597,Standing
598,Standing
599,Standing
600,Standing
601,Standing
602,Standing
603,Standing
604,Standing
605,Standing
606,Standing
607,Standing
608,Standing
609,Standing
610,Standing
611,Standing
612,Standing
613,Standing
614,Standing
615,Standing
616,Standing
617,Standing
618,Standing
619,Standing
620,Standing
621,Standing
622,Standing
623,Standing
624,Standing
625,Standing
626,Standing
627,Standing
628,Standing
629,Walking
630,Walking
631,Walking
632,Walking
633,Walking
634,Walking
635,Walking
636,Walking
637,Walking
638,Walking
639,Walking
640,Walking
641,Walking
642,Walking
643,Walking
644,Walking
645,Walking
646,Walking
647,Walking
648,Walking
649,Walking
650,Walking
651,Walking
652,Walking
653,Walking
654,Walking
655,Walking
656,Walking
657,Walking
658,Walking
659,Walking
660,Walking
661,Walking
662,Walking
663,Walking
664,Walking
665,Walking
666,Walking
667,Walking
668,Walking
669,Walking
670,Walking
671,Walking
672,Walking
673,Walking
674,Walking
675,Walking
676,Walking
677,Walking
678,Walking
679,Walking
680,Walking
681,Walking
682,Walking
683,Walking
684,Walking
685,Walking
686,Walking
687,Walking
688,Walking
689,Walking
690,Walking
691,Walking
692,Walking
693,Walking
694,Walking
695,Walking
696,Walking
697,Walking
698,Walking
699,Walking
700,Walking
701,Walking
702,Walking
703,Walking
704,Walking
705,Walking
706,Walking
707,Walking
708,Walking
709,Walking
710,Walking
711,Walking
712,Walking
713,Walking
714,Walking
715,Walking
716,Walking
717,Walking
718,Walking
719,Walking
720,Walking
721,Walking
722,Walking
723,Walking
724,Walking
725,Walking
726,Walking
727,Walking
728,Walking
729,Walking
730,Walking
731,Walking
732,Walking
733,Walking
734,Walking
735,Walking
736,Walking
737,Walking
738,Walking
739,Walking
740,Walking
741,Walking
742,Walking
743,Walking
744,Walking
745,Walking
746,Walking
747,Walking
748,Walking
749,Walking
750,Walking
751,Walking
752,Walking
753,Walking
754,Walking
755,Walking
756,Walking
757,Walking
758,Walking
759,Walking
760,Walking
761,Walking
762,Walking
763,Walking
764,Walking
765,Walking
766,Walking
767,Walking
768,Walking
769,Walking
770,Walking
771,Walking
772,Walking
773,Walking
774,Walking
775,Walking
776,Walking
777,Walking
778,Walking
779,Walking
780,Walking
781,Walking
782,Walking
783,Walking
784,Walking
785,Walking
786,Walking
787,Walking
788,Walking
789,Walking
790,Walking
791,Walking
792,Walking
793,Walking
794,Walking
795,Walking
796,Walking
797,Walking
798,Walking
799,Walking
800,Walking
801,Walking
802,Walking
803,Walking
804,Walking
805,Walking
806,Walking
807,Walking
808,Walking
809,Walking
810,Walking
811,Walking
812,Walking
813,Walking
814,Walking
815,Walking
816,Walking
817,Walking
818,Walking
819,Walking
820,Walking
821,Walking
822,Walking
823,Walking
824,Walking
825,Walking
826,Walking
827,Walking
828,Walking
829,Walking
830,Walking
831,Walking
832,Walking
833,Walking
834,Walking
835,Walking
836,Walking
837,Walking
838,Walking
839,Walking
840,Walking
841,Walking
842,Walking
843,Walking
844,Walking
845,Walking
846,Walking
847,Walking
848,Walking
849,Walking
850,Walking
851,Walking
852,Walking
853,Walking
854,Walking
855,Walking
856,Walking
857,Walking
858,Walking
859,Walking
860,Walking
861,Walking
862,Walking
863,Walking
864,Walking
865,Walking
866,Walking
867,Walking
868,Walking
869,Walking
870,Walking
871,Walking
872,Walking
873,Walking
874,Walking
875,Walking
876,Walking
877,Walking
878,Walking
879,Walking
880,Walking
881,Walking
882,Walking
883,Walking
884,Walking
885,Walking
886,Walking
887,Walking
888,Walking
889,Walking
890,Walking
891,Walking
892,Walking
893,Walking
894,Walking
895,Walking
896,Walking
897,Walking
898,Walking
899,Walking
900,Walking
901,Walking
902,Walking
903,Walking
904,Walking
905,Walking
906,Walking
907,Walking
908,Walking
909,Walking
910,Walking
911,Walking
912,Walking
913,Walking
914,Walking
915,Walking
916,Walking
917,Walking
918,Walking
919,Walking
920,Walking
921,Walking
922,Walking
923,Walking
924,Walking
925,Walking
926,Walking
927,Walking
928,Walking
929,Walking
930,Walking
931,Walking
932,Walking
933,Walking
934,No activity
935,No activity
936,No activity
937,No activity
938,No activity
939,No activity
940,No activity
941,No activity
942,No activity
943,No activity
944,No activity
945,No activity
946,No activity
947,No activity
948,No activity
949,No activity
950,No activity
951,No activity
952,No activity
953,No activity
954,No activity
955,No activity
956,No activity
957,No activity
958,No activity
959,No activity
960,No activity
961,No activity
962,No activity
963,No activity
964,No activity
965,No activity
966,No activity
967,No activity
968,No activity
969,No activity
970,No activity
971,No activity
972,No activity
973,No activity
974,No activity
975,No activity
976,No activity
977,No activity
978,No activity
979,No activity
980,No activity
981,No activity
982,No activity
983,No activity
984,No activity
985,No activity
986,No activity
987,No activity
988,No activity
989,No activity
990,No activity
991,No activity
992,No activity
993,No activity
994,No activity
995,No activity
996,No activity
997,No activity
998,No activity
999,No activity
1000,No activity
1001,No activity
1002,No activity
1003,No activity
1004,No activity
1005,No activity
1006,No activity
1007,No activity
1008,No activity
1009,No activity
1010,No activity
1011,No activity
1012,No activity
1013,No activity
1014,No activity
1015,No activity
1016,No activity
1017,No activity
1018,No activity
1019,No activity
1020,No activity
1021,No activity
1022,No activity
1023,No activity
1024,No activity
1025,No activity
1026,No activity
1027,No activity
1028,No activity
1029,No activity
1030,No activity
1031,No activity
1032,No activity
1033,No activity
1034,No activity
1035,No activity
1036,No activity
1037,No activity
1038,No activity
1039,No activity
1040,No activity
1041,No activity
1042,No activity
1043,No activity
1044,No activity
1045,No activity
1046,No activity
1047,No activity
1048,No activity
1049,No activity
1050,No activity
1051,No activity
1052,No activity
1053,No activity
1054,No activity
1055,No activity
1056,No activity
1057,No activity
1058,No activity
1059,No activity
1060,No activity
1061,No activity
1062,No activity
1063,No activity
1064,No activity
1065,No activity
1066,No activity
1067,No activity
1068,No activity
1069,No activity
1070,No activity
1071,No activity
1072,No activity
1073,No activity
1074,No activity
1075,No activity
1076,No activity
1077,No activity
1078,No activity
1079,No activity
1080,No activity
1081,No activity
1082,No activity
1083,No activity
1084,No activity
1085,No activity
1086,No activity
1087,No activity
1088,No activity
1089,No activity
1090,No activity
1091,No activity
1092,No activity
1093,No activity
1094,No activity
1095,No activity
1096,No activity
1097,No activity
1098,No activity
1099,No activity
1100,No activity
1101,No activity
1102,No activity
1103,No activity
1104,No activity
1105,No activity
1106,No activity
1107,No activity
1108,No activity
1109,No activity
1110,No activity
1111,No activity
1112,No activity
1113,No activity
1114,No activity
1115,No activity
1116,No activity
1117,No activity
1118,No activity
1119,No activity
1120,No activity
1121,No activity
1122,No activity
1123,No activity
1124,No activity
1125,No activity
1126,No activity
1127,No activity
1128,No activity
1129,No activity
1130,No activity
1131,No activity
1132,No activity
1133,No activity
1134,No activity
1135,No activity
1136,No activity
1137,No activity
1138,No activity
1139,No activity
1140,No activity
1141,No activity
1142,No activity
1143,No activity
1144,No activity
1145,No activity
1146,No activity
1147,No activity
1148,No activity
1149,No activity
1150,No activity
1151,No activity
1152,No activity
1153,No activity
1154,No activity
1155,No activity
1156,No activity
1157,No activity
