Index,Activity
585,Standing
586,Standing
587,Standing
588,Standing
589,Standing
590,Standing
591,Standing
592,Standing
593,Standing
594,Standing
595,Standing
596,Standing
597,Standing
598,Standing
599,Standing
600,Standing
601,Standing
602,Standing
603,Standing
604,Standing
605,Standing
606,Standing
607,Standing
608,Standing
609,Standing
610,Standing
611,Standing
612,Standing
613,Standing
614,Standing
615,Standing
616,Standing
617,Standing
618,Standing
619,Standing
620,Standing
621,Standing
622,Standing
623,Standing
624,Standing
625,Standing
626,Standing
627,Standing
628,Standing
629,Standing
630,Standing
631,Standing
632,Standing
633,Standing
634,Standing
635,Standing
636,Standing
637,Standing
638,Standing
639,Standing
640,Standing
641,Standing
642,Standing
643,Standing
644,Standing
645,Standing
646,Standing
647,Standing
648,Standing
649,Standing
650,Standing
651,Standing
652,Standing
653,Standing
654,Standing
655,Standing
656,Standing
657,Standing
658,Standing
659,Standing
660,Standing
661,Standing
662,Standing
663,Standing
664,Standing
665,Standing
666,Standing
667,Standing
668,Standing
669,Standing
670,Standing
671,Standing
672,Standing
673,Standing
674,Standing
675,Standing
676,Standing
677,Standing
678,Standing
679,Standing
680,Standing
681,Standing
682,Standing
683,Standing
684,Standing
685,Standing
686,Standing
687,Standing
688,Standing
689,Standing
690,Standing
691,Standing
692,Standing
693,Standing
694,Standing
695,Standing
696,Standing
697,Standing
698,Standing
699,Standing
700,Standing
701,Standing
702,Standing
703,Standing
704,Standing
705,Standing
706,Standing
707,Standing
708,Standing
709,Standing
710,Standing
711,Standing
712,Standing
713,Standing
714,Standing
715,Standing
716,Standing
717,Standing
718,Standing
719,Standing
720,Standing
721,Standing
722,Standing
723,Standing
724,Standing
725,Standing
726,Standing
727,Standing
728,Standing
729,Standing
730,Standing
731,Standing
732,Standing
733,Standing
734,Standing
735,Standing
736,Standing
737,Standing
738,Standing
739,Standing
740,Standing
741,Standing
742,Standing
743,Standing
744,Standing
745,Standing
746,Standing
747,Standing
748,Standing
749,Standing
750,Standing
751,Standing
752,Standing
753,Standing
754,Standing
755,Standing
756,Standing
757,Standing
758,Standing
759,Standing
760,Standing
761,Running
762,Running
763,Running
764,Running
765,Running
766,Running
767,Running
768,Running
769,Running
770,Running
771,Running
772,Running
773,Running
774,Running
775,Running
776,Running
777,Running
778,Running
779,Running
780,Running
781,Running
782,Running
783,Running
784,Running
785,Running
786,Running
787,Running
788,Running
789,Running
790,Running
791,Running
792,Running
793,Running
794,Running
795,Running
796,Running
797,Running
798,Running
799,Running
800,Running
801,Running
802,Running
803,Running
804,Running
805,Running
806,Running
807,Running
808,Running
809,Running
810,Running
811,Running
812,Running
813,Running
814,Running
815,Running
816,Running
817,Running
818,Running
819,Running
820,Running
821,Running
822,Running
823,Running
824,Running
825,Running
826,Running
827,Running
828,Running
829,Running
830,Running
831,Running
832,Running
833,Running
834,Running
835,Running
836,Running
837,Running
838,Running
839,Running
840,Running
841,Running
842,Running
843,Running
844,Running
845,Running
846,Running
847,Running
848,Running
849,Running
850,Running
851,Running
852,Running
853,Running
854,Running
855,Running
856,Running
857,Running
858,Running
859,Running
860,Running
861,Running
862,Running
863,Running
864,Running
865,Running
866,Running
867,Running
868,Running
869,Running
870,Running
871,Running
872,Running
873,Running
874,Running
875,Running
876,Running
877,Running
878,Running
879,Running
880,Running
881,Running
882,Running
883,Running
884,Running
885,Running
886,Running
887,Running
888,Running
889,Running
890,Running
891,Running
892,Running
893,Running
894,Running
895,Running
896,Running
897,Running
898,Running
899,Running
900,Running
901,Running
902,Running
903,Running
904,Running
905,Running
906,Running
907,Running
908,Running
909,Running
910,Running
911,Running
912,Running
913,Running
914,Running
915,Running
916,Running
917,Running
918,Running
919,Running
920,Running
921,Running
922,Running
923,Running
924,Running
925,Running
926,Running
927,Running
928,Running
929,Running
930,Running
931,Running
932,Running
933,Running
934,Running
935,Running
936,Running
937,Running
938,Running
939,Running
940,Running
941,Running
942,Running
943,Running
944,Running
945,Running
946,Running
947,Running
948,Running
949,Running
950,Running
951,Running
952,Running
953,Running
954,Running
955,Running
956,Running
957,Running
958,Running
959,Running
960,Running
961,Running
962,Running
963,Running
964,Running
965,Running
966,Running
967,Running
968,Running
969,Running
970,Running
971,Running
972,Running
973,Running
974,Running
975,Running
976,Running
977,Running
978,Running
979,Running
980,Running
981,Running
982,Running
983,Running
984,Running
985,Running
986,Running
987,Running
988,Running
989,Running
990,Running
991,Running
992,Running
993,Running
994,Running
995,Running
996,Running
997,Running
998,Running
999,Running
1000,Running
1001,Running
1002,Running
1003,Running
1004,Running
1005,Running
1006,Running
1007,Running
1008,Running
1009,Running
1010,Running
1011,Running
1012,Running
1013,Running
1014,Running
1015,Running
1016,Running
1017,Running
1018,Running
1019,Running
1020,Running
1021,Running
1022,Running
1023,Running
1024,Running
1025,Running
1026,Running
1027,Running
1028,Running
1029,Running
1030,Sitting
1031,Sitting
1032,Sitting
1033,Sitting
1034,Sitting
1035,Sitting
1036,Sitting
1037,Sitting
1038,Sitting
1039,Sitting
1040,Sitting
1041,Sitting
1042,Sitting
1043,Sitting
1044,Sitting
1045,Sitting
1046,Sitting
1047,Sitting
1048,Sitting
1049,Sitting
1050,Sitting
1051,Sitting
1052,Sitting
1053,Sitting
1054,Sitting
1055,Sitting
1056,Sitting
1057,Sitting
1058,Sitting
1059,Sitting
1060,Sitting
1061,Sitting
1062,Sitting
1063,Sitting
1064,Sitting
1065,Sitting
1066,Sitting
1067,Sitting
1068,Sitting
1069,Sitting
1070,Sitting
1071,Sitting
1072,Sitting
1073,Sitting
1074,Sitting
1075,Sitting
1076,Sitting
1077,Sitting
1078,Sitting
1079,Sitting
1080,Sitting
1081,Sitting
1082,Sitting
1083,Sitting
1084,Sitting
1085,Sitting
1086,Sitting
1087,Sitting
1088,Sitting
1089,Sitting
1090,Sitting
1091,Sitting
1092,Sitting
1093,Sitting
1094,Sitting
1095,Sitting
1096,Sitting
1097,Sitting
1098,Sitting
1099,Sitting
1100,Sitting
1101,Sitting
1102,Sitting
1103,Sitting
1104,Sitting
1105,Sitting
1106,Sitting
1107,Sitting
1108,Sitting
1109,Sitting
1110,Sitting
1111,Sitting
1112,Sitting
1113,Sitting
1114,Sitting
1115,Sitting
1116,Sitting
1117,Sitting
1118,Sitting
1119,Sitting
1120,Sitting
1121,Sitting
1122,Sitting
1123,Sitting
1124,Sitting
1125,Sitting
1126,Sitting
1127,Sitting
1128,Sitting
1129,Sitting
1130,Sitting
1131,Sitting
1132,Sitting
1133,Sitting
1134,Sitting
1135,Sitting
1136,Sitting
1137,Sitting
1138,Sitting
1139,Sitting
1140,Sitting
1141,Sitting
1142,Sitting
1143,Sitting
1144,Sitting
1145,Sitting
1146,Sitting
1147,Sitting
1148,Sitting
1149,Sitting
1150,Sitting
1151,Sitting
1152,Sitting
1153,Sitting
1154,Sitting
1155,Sitting
1156,Sitting
1157,Sitting
1158,Sitting
1159,Sitting
1160,Sitting
1161,Sitting
1162,Sitting
1163,Sitting
1164,Sitting
1165,Sitting
1166,Sitting
1167,Sitting
1168,Sitting
1169,Sitting
1170,Sitting
1171,Sitting
1172,Sitting
1173,Sitting
1174,Sitting
1175,Sitting
1176,Sitting
1177,Sitting
1178,Sitting
1179,Sitting
1180,Sitting
1181,Sitting
1182,Sitting
1183,Sitting
1184,Sitting
1185,Sitting
1186,Sitting
1187,Sitting
1188,Sitting
1189,Sitting
1190,Sitting
1191,Jump
1192,Jump
1193,Jump
1194,Jump
1195,Jump
1196,Jump
1197,Jump
1198,Jump
1199,Jump
1200,Jump
1201,Jump
1202,Jump
1203,Jump
1204,Jump
1205,Jump
1206,Jump
1207,Jump
1208,Jump
1209,Jump
1210,Jump
1211,Jump
1212,Jump
1213,Jump
1214,Jump
1215,Jump
1216,Jump
1217,Jump
1218,Jump
1219,Jump
1220,Jump
1221,Jump
1222,Jump
1223,Jump
1224,Jump
1225,Jump
1226,Jump
1227,Jump
1228,Jump
1229,Jump
1230,Jump
1231,Jump
1232,Jump
1233,Jump
1234,Jump
1235,Jump
1236,Jump
1237,Jump
1238,Jump
1239,Jump
1240,Jump
1241,Jump
1242,Jump
1243,Jump
1244,Jump
1245,Jump
1246,Jump
1247,Jump
1248,Jump
1249,Jump
1250,Jump
1251,Jump
1252,Jump
1253,Jump
1254,Jump
1255,Jump
1256,Jump
1257,Jump
1258,Jump
1259,Jump
1260,Jump
1261,Jump
1262,Jump
1263,Jump
1264,Jump
1265,Jump
1266,Jump
1267,Jump
1268,Jump
1269,Jump
1270,Jump
1271,Jump
1272,Jump
1273,Jump
1274,Jump
1275,Jump
1276,Jump
1277,Jump
1278,Jump
1279,Jump
1280,Jump
1281,Jump
1282,Jump
1283,Jump
1284,Jump
1285,Jump
1286,Jump
1287,Jump
1288,Jump
1289,Jump
1290,Jump
1291,Jump
1292,Jump
1293,Jump
1294,Jump
1295,Jump
1296,Jump
1297,Jump
1298,Jump
1299,Jump
1300,Jump
1301,Jump
1302,Jump
1303,Jump
1304,Jump
1305,Jump
1306,Jump
1307,Jump
1308,Jump
1309,Jump
1310,Jump
1311,Jump
1312,Jump
1313,Jump
1314,Jump
1315,Jump
1316,Jump
1317,Jump
1318,Jump
1319,Jump
1320,Jump
1321,Jump
1322,Jump
1323,Jump
1324,Jump
1325,Jump
1326,Jump
1327,Jump
1328,Jump
1329,Jump
1330,Jump
1331,Jump
1332,Jump
1333,Jump
1334,Jump
1335,Jump
1336,Jump
1337,Jump
1338,Jump
1339,Jump
1340,Jump
1341,Jump
1342,Jump
1343,Jump
1344,Jump
1345,Jump
1346,Jump
1347,Jump
1348,Jump
1349,Jump
1350,Jump
1351,Jump
1352,Jump
1353,Jump
1354,Jump
1355,Jump
1356,Jump
1357,Jump
1358,Jump
1359,Jump
1360,Jump
1361,Jump
1362,Jump
1363,Jump
1364,Jump
1365,Jump
1366,Jump
1367,Jump
1368,Jump
1369,Jump
1370,Jump
1371,Jump
1372,Jump
1373,Jump
1374,Jump
1375,Jump
1376,Jump
1377,Jump
1378,Jump
1379,Jump
1380,Jump
1381,Jump
1382,Jump
1383,Jump
1384,Jump
1385,Jump
1386,Jump
1387,Jump
1388,No activity
1389,No activity
1390,No activity
1391,No activity
1392,No activity
1393,No activity
1394,No activity
1395,No activity
1396,No activity
1397,No activity
1398,No activity
1399,No activity
1400,No activity
1401,No activity
1402,No activity
1403,No activity
1404,No activity
1405,No activity
1406,No activity
1407,No activity
1408,No activity
1409,No activity
1410,No activity
1411,No activity
1412,No activity
1413,No activity
1414,No activity
1415,No activity
1416,No activity
1417,No activity
1418,No activity
1419,No activity
1420,No activity
1421,No activity
1422,No activity
1423,No activity
1424,No activity
1425,No activity
1426,No activity
1427,No activity
1428,No activity
1429,No activity
1430,No activity
1431,No activity
1432,No activity
1433,No activity
1434,No activity
1435,No activity
1436,No activity
1437,No activity
1438,No activity
1439,No activity
1440,No activity
1441,No activity
1442,No activity
